,subsesh,TRIAL_INDEX,blockNum,ntargets,TRIAL_FIXATION_TOTAL,CURRENT_FIX_INDEX,CURRENT_FIX_START,CURRENT_FIX_DURATION,CURRENT_FIX_PUPIL,PREVIOUS_FIX_INTEREST_AREA_LABEL,PREVIOUS_FIX_INTEREST_AREA_ID,CURRENT_FIX_INTEREST_AREA_ID,CURRENT_FIX_INTEREST_AREA_LABEL,NEXT_FIX_INTEREST_AREA_RUN_ID,NEXT_FIX_INTEREST_AREA_LABEL,CURRENT_FIX_INTEREST_AREA_FIX_COUNT,CURRENT_FIX_INTEREST_AREA_RUN_ID,CURRENT_FIX_REFIX_INTEREST_AREA,CURRENT_FIX_RUN_INDEX,CURRENT_FIX_RUN_SIZE,CURRENT_FIX_X,CURRENT_FIX_Y,RT,TRIAL_START_TIME,CORRECT,CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE,CURRENT_FIX_NEAREST_INTEREST_AREA,CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL,subject,session,timestamp,refix,fix_idx,ntargets_fixed,Order,fixation
4,p10_1,5,2.0,3.0,39,5,1153,284,2688,DISTRACTOR,24.0,1.0,TARGET_1,1.0,DISTRACTOR,2.0,1.0,0.0,1.0,1.0,366.1,166.4,10000.0,4910485,0.0,0.3,1.0,TARGET_1,p10,1,4911638,0,7651,2,1.0,target
6,p10_1,5,2.0,3.0,39,7,1699,139,2855,DISTRACTOR,26.0,1.0,TARGET_1,1.0,DISTRACTOR,2.0,2.0,5.0,1.0,1.0,340.7,169.8,10000.0,4910485,0.0,0.74,1.0,TARGET_1,p10,1,4912184,1,7653,2,,target
24,p10_1,5,2.0,3.0,39,25,6287,439,2634,DISTRACTOR,14.0,3.0,TARGET_3,1.0,DISTRACTOR,2.0,1.0,0.0,1.0,1.0,676.4,543.8,10000.0,4910485,0.0,0.6,3.0,TARGET_3,p10,1,4916772,0,7671,2,2.0,target
26,p10_1,5,2.0,3.0,39,27,6942,128,2475,DISTRACTOR,10.0,3.0,TARGET_3,1.0,,2.0,2.0,25.0,1.0,1.0,690.6,536.3,10000.0,4910485,0.0,0.98,3.0,TARGET_3,p10,1,4917427,1,7673,2,,target
80,p10_1,7,2.0,3.0,38,4,1220,160,2375,DISTRACTOR,18.0,3.0,TARGET_3,1.0,DISTRACTOR,1.0,1.0,0.0,1.0,1.0,748.7,178.0,10000.0,4957479,0.0,0.92,3.0,TARGET_3,p10,1,4958699,0,7727,2,1.0,target
97,p10_1,7,2.0,3.0,38,21,5151,247,2287,,51.0,2.0,TARGET_2,1.0,TARGET_2,2.0,1.0,0.0,1.0,2.0,359.8,524.9,10000.0,4957479,0.0,0.32,2.0,TARGET_2,p10,1,4962630,0,7744,2,2.0,target
140,p10_1,8,2.0,2.0,36,26,6842,161,2200,DISTRACTOR,27.0,2.0,TARGET_2,1.0,DISTRACTOR,3.0,1.0,0.0,1.0,1.0,250.1,536.5,10000.0,4981140,0.0,0.29,2.0,TARGET_2,p10,1,4987982,0,7787,1,1.0,target
158,p10_1,9,2.0,1.0,39,8,2045,268,3382,DISTRACTOR,8.0,1.0,TARGET_1,1.0,TARGET_1,3.0,1.0,0.0,1.0,3.0,573.9,105.4,10000.0,5007223,1.0,1.01,1.0,TARGET_1,p10,1,5009268,0,7805,1,,target
243,p10_1,11,2.0,2.0,37,13,3315,174,2562,DISTRACTOR,18.0,2.0,TARGET_2,1.0,TARGET_2,2.0,1.0,0.0,1.0,2.0,588.9,294.6,10000.0,5056362,1.0,0.45,2.0,TARGET_2,p10,1,5059677,0,7890,2,1.0,target
354,p10_1,14,2.0,2.0,38,7,2128,200,2990,DISTRACTOR,21.0,2.0,TARGET_2,1.0,,1.0,1.0,0.0,1.0,1.0,237.9,171.3,10000.0,5132079,1.0,0.17,2.0,TARGET_2,p10,1,5134207,0,8001,2,1.0,target
